ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
1,XAUUSD,buy,low,4078.83000,4078.43500,2025-11-20T10:55:00.000Z,2025-11-20T10:56:00.000Z,4078.43500,4080.01500,10.00,-395.00,1,-3.95,1.00
2,XAUUSD,buy,low,4078.83000,4078.43500,2025-11-20T10:56:00.000Z,2025-11-20T10:57:00.000Z,4078.43500,4080.01500,10.00,-395.00,1,-3.95,1.00
3,XAUUSD,buy,low,4077.57000,4077.10400,2025-11-20T11:04:00.000Z,2025-11-20T11:05:00.000Z,4077.10400,4078.96800,9.88,-460.41,1,-4.66,1.00
4,XAUUSD,buy,low,4077.57000,4077.10400,2025-11-20T11:05:00.000Z,2025-11-20T11:06:00.000Z,4077.10400,4078.96800,9.39,-437.57,1,-4.66,1.00
