ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
3,XAUUSD,sell,low,4047.51000,4087.98510,2025-11-23T22:55:00.000Z,2025-11-24T12:05:00.000Z,4087.98510,3946.32225,0.12,-485.70,790,-404.75,1.00
2,XAUUSD,sell,low,4049.45000,4089.94450,2025-11-23T22:54:00.000Z,2025-11-24T12:08:00.000Z,4089.94450,3948.21375,0.12,-485.93,794,-404.94,1.00
1,XAUUSD,sell,low,4049.94000,4090.43940,2025-11-23T22:51:00.000Z,2025-11-24T12:09:00.000Z,4090.43940,3948.69150,0.12,-485.99,798,-404.99,1.00
6,XAUUSD,sell,low,4087.79000,4128.66790,2025-11-24T12:06:00.000Z,2025-11-24T17:31:00.000Z,4128.66790,3985.59525,0.12,-490.53,325,-408.78,1.00
7,XAUUSD,sell,low,4089.38000,4130.27380,2025-11-24T12:09:00.000Z,2025-11-24T17:33:00.000Z,4130.27380,3987.14550,0.10,-408.94,324,-408.94,1.00
