ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
2,XAUUSD,sell,low,2618.88370,2645.07254,2024-05-01T04:45:00.000Z,2024-05-01T07:00:00.000Z,2645.07254,2553.41161,0.19,-497.59,135,-261.89,1.00
3,XAUUSD,sell,low,2619.74051,2645.93792,2024-05-01T04:50:00.000Z,2024-05-01T07:00:00.000Z,2645.93792,2554.24700,0.19,-497.75,130,-261.97,1.00
1,XAUUSD,sell,low,2621.04127,2647.25168,2024-05-01T04:40:00.000Z,2024-05-01T07:10:00.000Z,2647.25168,2555.51523,0.19,-498.00,150,-262.10,1.00
6,XAUUSD,buy,low,2647.36111,2620.88750,2024-05-01T07:10:00.000Z,2024-05-01T11:35:00.000Z,2620.88750,2713.54514,0.16,-423.58,265,-264.74,1.00
4,XAUUSD,buy,low,2642.77731,2616.34954,2024-05-01T07:00:00.000Z,2024-05-01T11:55:00.000Z,2616.34954,2708.84674,0.17,-449.27,295,-264.28,1.00
5,XAUUSD,buy,low,2643.82429,2617.38604,2024-05-01T07:05:00.000Z,2024-05-01T11:55:00.000Z,2617.38604,2709.91989,0.17,-449.45,290,-264.38,1.00
9,XAUUSD,sell,low,2622.16315,2648.38479,2024-05-01T11:40:00.000Z,2024-05-01T21:40:00.000Z,2648.38479,2556.60907,0.15,-393.32,600,-262.22,1.00
8,XAUUSD,sell,low,2627.02664,2653.29691,2024-05-01T11:20:00.000Z,2024-05-01T22:15:00.000Z,2653.29691,2561.35097,0.16,-420.32,655,-262.70,1.00
11,XAUUSD,buy,low,2661.20039,2634.58839,2024-05-02T00:00:00.000Z,2024-05-02T01:55:00.000Z,2634.58839,2727.73040,0.12,-319.34,115,-266.12,1.00
14,XAUUSD,sell,low,2626.27185,2652.53457,2024-05-02T02:25:00.000Z,2024-05-02T11:15:00.000Z,2652.53457,2560.61506,0.12,-315.15,530,-262.63,1.00
12,XAUUSD,sell,low,2629.02184,2655.31206,2024-05-02T02:15:00.000Z,2024-05-02T12:05:00.000Z,2655.31206,2563.29630,0.12,-315.48,590,-262.90,1.00
16,XAUUSD,sell,low,2637.80814,2664.18622,2024-05-03T03:50:00.000Z,2024-05-03T07:55:00.000Z,2664.18622,2571.86294,0.10,-263.78,245,-263.78,1.00
15,XAUUSD,sell,low,2640.85327,2667.26180,2024-05-03T03:45:00.000Z,2024-05-03T08:00:00.000Z,2667.26180,2574.83193,0.10,-264.09,255,-264.09,1.00
