ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
1,XAUUSD,buy,low,4139.94000,4098.54060,2025-10-23T12:15:00.000Z,2025-10-24T05:00:00.000Z,4098.54060,4264.13820,0.12,-496.79,1005,-413.99,1.00
3,XAUUSD,buy,low,4131.91000,4090.59090,2025-10-24T13:10:00.000Z,2025-10-26T20:00:00.000Z,4090.59090,4255.86730,0.11,-454.51,3290,-413.19,1.00
4,XAUUSD,buy,low,4044.78000,4004.33220,2025-10-27T10:45:00.000Z,2025-10-27T12:05:00.000Z,4004.33220,4166.12340,0.11,-444.93,80,-404.48,1.00
2,XAUUSD,sell,low,4104.69000,3981.54930,2025-10-24T03:30:00.000Z,2025-10-27T13:00:00.000Z,4145.73690,3981.54930,0.12,1477.69,4890,1231.41,3.00
5,XAUUSD,sell,low,3974.41000,4014.15410,2025-10-27T13:05:00.000Z,2025-10-27T23:05:00.000Z,4014.15410,3855.17770,0.13,-516.67,600,-397.44,1.00
6,XAUUSD,buy,low,3981.51000,3941.69490,2025-10-27T13:15:00.000Z,2025-10-28T04:45:00.000Z,3941.69490,4100.95530,0.13,-517.60,930,-398.15,1.00
7,XAUUSD,buy,low,3970.76000,3931.05240,2025-10-28T22:25:00.000Z,2025-10-29T17:40:00.000Z,3931.05240,4089.88280,0.11,-436.78,1155,-397.08,1.00
8,XAUUSD,sell,low,3993.33000,4033.26330,2025-10-29T05:30:00.000Z,2025-10-30T20:50:00.000Z,4033.26330,3873.53010,0.11,-439.27,2360,-399.33,1.00
9,XAUUSD,buy,low,3987.64000,3947.76360,2025-10-30T11:50:00.000Z,2025-11-04T11:30:00.000Z,3947.76360,4107.26920,0.11,-438.64,7180,-398.76,1.00
10,XAUUSD,sell,low,4031.89000,4072.20890,2025-10-30T21:00:00.000Z,2025-11-10T03:20:00.000Z,4072.20890,3910.93330,0.10,-403.19,14780,-403.19,1.00
11,XAUUSD,buy,low,3975.52000,4094.78560,2025-11-05T02:25:00.000Z,2025-11-10T09:20:00.000Z,3935.76480,4094.78560,0.10,1192.66,7615,1192.66,3.00
12,XAUUSD,sell,low,4082.94000,4123.76940,2025-11-10T11:15:00.000Z,2025-11-10T21:25:00.000Z,4123.76940,3960.45180,0.10,-408.29,610,-408.29,1.00
14,XAUUSD,sell,low,4126.59000,4167.85590,2025-11-11T04:00:00.000Z,2025-11-12T12:15:00.000Z,4167.85590,4002.79230,0.10,-412.66,1935,-412.66,1.00
13,XAUUSD,buy,low,4083.42000,4205.92260,2025-11-10T11:50:00.000Z,2025-11-12T14:40:00.000Z,4042.58580,4205.92260,0.10,1225.03,3050,1225.03,3.00
15,XAUUSD,buy,low,4212.77000,4170.64230,2025-11-13T00:55:00.000Z,2025-11-13T15:30:00.000Z,4170.64230,4339.15310,0.11,-463.40,875,-421.28,1.00
17,XAUUSD,buy,low,4152.52000,4110.99480,2025-11-14T08:30:00.000Z,2025-11-14T09:30:00.000Z,4110.99480,4277.09560,0.10,-415.25,60,-415.25,1.00
18,XAUUSD,buy,low,4115.27000,4074.11730,2025-11-14T09:40:00.000Z,2025-11-14T10:20:00.000Z,4074.11730,4238.72810,0.10,-411.53,40,-411.53,1.00
16,XAUUSD,sell,low,4159.87000,4035.07390,2025-11-14T08:05:00.000Z,2025-11-14T11:30:00.000Z,4201.46870,4035.07390,0.10,1247.96,205,1247.96,3.00
20,XAUUSD,sell,low,4063.50000,4104.13500,2025-11-14T11:45:00.000Z,2025-11-14T13:35:00.000Z,4104.13500,3941.59500,0.11,-446.99,110,-406.35,1.00
19,XAUUSD,buy,low,4055.95000,4015.39050,2025-11-14T10:35:00.000Z,2025-11-17T16:45:00.000Z,4015.39050,4177.62850,0.09,-365.04,4690,-405.59,1.00
