ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
1,XAUUSD,sell,low,3970.84000,3972.58000,2025-11-04T11:14:00.000Z,2025-11-04T11:15:00.000Z,3972.58000,3965.62000,0.03,-5.22,1,-17.40,1.00
2,XAUUSD,sell,low,3970.84000,3972.58000,2025-11-04T11:15:00.000Z,2025-11-04T11:16:00.000Z,3972.58000,3965.62000,0.03,-5.22,1,-17.40,1.00
3,XAUUSD,sell,low,3970.84000,3972.58000,2025-11-04T11:16:00.000Z,2025-11-04T11:17:00.000Z,3972.58000,3965.62000,0.03,-5.22,1,-17.40,1.00
4,XAUUSD,sell,low,3970.84000,3972.58000,2025-11-04T11:17:00.000Z,2025-11-04T11:18:00.000Z,3972.58000,3965.62000,0.02,-3.48,1,-17.40,1.00
5,XAUUSD,sell,low,3977.61000,3972.78000,2025-11-04T11:18:00.000Z,2025-11-04T11:19:00.000Z,3979.22000,3972.78000,0.03,14.49,1,48.30,3.00
6,XAUUSD,sell,low,3936.86000,3939.92500,2025-11-04T11:45:00.000Z,2025-11-04T11:47:00.000Z,3939.92500,3927.66500,0.02,-6.13,2,-30.65,1.00
7,XAUUSD,sell,low,3936.86000,3939.92500,2025-11-04T11:46:00.000Z,2025-11-04T11:47:00.000Z,3939.92500,3927.66500,0.02,-6.13,1,-30.65,1.00
8,XAUUSD,sell,low,3940.69000,3944.30000,2025-11-04T11:47:00.000Z,2025-11-04T11:51:00.000Z,3944.30000,3929.86000,0.01,-3.61,4,-36.10,1.00
9,XAUUSD,sell,low,3940.69000,3944.30000,2025-11-04T11:48:00.000Z,2025-11-04T11:51:00.000Z,3944.30000,3929.86000,0.01,-3.61,3,-36.10,1.00
10,XAUUSD,sell,low,3940.69000,3944.30000,2025-11-04T11:49:00.000Z,2025-11-04T11:51:00.000Z,3944.30000,3929.86000,0.01,-3.61,2,-36.10,1.00
11,XAUUSD,sell,low,3940.69000,3944.30000,2025-11-04T11:52:00.000Z,2025-11-04T11:53:00.000Z,3944.30000,3929.86000,0.01,-3.61,1,-36.10,1.00
12,XAUUSD,sell,low,3940.69000,3944.30000,2025-11-04T11:53:00.000Z,2025-11-04T11:54:00.000Z,3944.30000,3929.86000,0.01,-3.61,1,-36.10,1.00
13,XAUUSD,sell,low,3940.69000,3944.30000,2025-11-04T11:54:00.000Z,2025-11-04T11:55:00.000Z,3944.30000,3929.86000,0.01,-3.61,1,-36.10,1.00
14,XAUUSD,sell,low,3940.69000,3944.30000,2025-11-04T11:55:00.000Z,2025-11-04T11:56:00.000Z,3944.30000,3929.86000,0.01,-3.61,1,-36.10,1.00
15,XAUUSD,sell,low,3940.69000,3944.30000,2025-11-04T11:56:00.000Z,2025-11-04T11:57:00.000Z,3944.30000,3929.86000,0.01,-3.61,1,-36.10,1.00
16,XAUUSD,sell,low,3952.48000,3954.03500,2025-11-04T11:57:00.000Z,2025-11-04T11:58:00.000Z,3954.03500,3947.81500,0.02,-3.11,1,-15.55,1.00
17,XAUUSD,sell,low,3952.48000,3954.03500,2025-11-04T11:58:00.000Z,2025-11-04T11:59:00.000Z,3954.03500,3947.81500,0.02,-3.11,1,-15.55,1.00
18,XAUUSD,sell,low,3952.48000,3954.03500,2025-11-04T11:59:00.000Z,2025-11-04T12:00:00.000Z,3954.03500,3947.81500,0.02,-3.11,1,-15.55,1.00
19,XAUUSD,sell,low,3952.48000,3954.03500,2025-11-04T12:00:00.000Z,2025-11-04T12:01:00.000Z,3954.03500,3947.81500,0.01,-1.55,1,-15.55,1.00
20,XAUUSD,sell,low,3957.65000,3950.88500,2025-11-04T12:01:00.000Z,2025-11-04T12:02:00.000Z,3959.90500,3950.88500,0.01,6.77,1,67.65,3.00
21,XAUUSD,sell,low,3954.46000,3948.71500,2025-11-04T12:02:00.000Z,2025-11-04T12:04:00.000Z,3956.37500,3948.71500,0.01,5.74,2,57.45,3.00
22,XAUUSD,sell,low,3954.46000,3948.71500,2025-11-04T12:03:00.000Z,2025-11-04T12:04:00.000Z,3956.37500,3948.71500,0.01,5.74,1,57.45,3.00
23,XAUUSD,sell,low,3953.20000,3946.33000,2025-11-04T12:04:00.000Z,2025-11-04T12:12:00.000Z,3955.49000,3946.33000,0.01,6.87,8,68.70,3.00
24,XAUUSD,sell,low,3953.20000,3946.33000,2025-11-04T12:05:00.000Z,2025-11-04T12:12:00.000Z,3955.49000,3946.33000,0.01,6.87,7,68.70,3.00
25,XAUUSD,sell,low,3953.20000,3946.33000,2025-11-04T12:06:00.000Z,2025-11-04T12:12:00.000Z,3955.49000,3946.33000,0.01,6.87,6,68.70,3.00
26,XAUUSD,sell,low,3948.92000,3951.23000,2025-11-04T12:13:00.000Z,2025-11-04T12:16:00.000Z,3951.23000,3941.99000,0.02,-4.62,3,-23.10,1.00
27,XAUUSD,sell,low,3948.92000,3951.23000,2025-11-04T12:14:00.000Z,2025-11-04T12:16:00.000Z,3951.23000,3941.99000,0.02,-4.62,2,-23.10,1.00
28,XAUUSD,sell,low,3948.92000,3951.23000,2025-11-04T12:15:00.000Z,2025-11-04T12:16:00.000Z,3951.23000,3941.99000,0.02,-4.62,1,-23.10,1.00
29,XAUUSD,sell,low,3948.92000,3951.23000,2025-11-04T12:17:00.000Z,2025-11-04T12:18:00.000Z,3951.23000,3941.99000,0.01,-2.31,1,-23.10,1.00
