ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
1,XAUUSD,buy,low,4080.71000,4070.61000,2025-10-22T12:35:00.000Z,2025-10-22T12:45:00.000Z,4070.61000,4090.57000,0.50,-505.00,10,-101.00,1.00
2,XAUUSD,buy,low,4077.86000,4070.61000,2025-10-22T12:50:00.000Z,2025-10-22T13:00:00.000Z,4070.61000,4090.57000,0.65,-471.25,10,-72.50,1.00
3,XAUUSD,buy,low,4064.52000,4063.10000,2025-10-22T13:10:00.000Z,2025-10-22T13:15:00.000Z,4063.10000,4067.36000,3.18,-451.56,5,-14.20,1.00
4,XAUUSD,buy,low,4090.65000,4092.78000,2025-10-23T02:30:00.000Z,2025-10-23T02:35:00.000Z,4077.79000,4092.78000,0.33,70.29,5,21.30,0.17
5,XAUUSD,buy,low,4090.09000,4092.78000,2025-10-23T02:50:00.000Z,2025-10-23T03:15:00.000Z,4077.79000,4092.78000,0.35,94.15,25,26.90,0.22
6,XAUUSD,buy,low,4084.98000,4092.78000,2025-10-23T03:20:00.000Z,2025-10-23T04:10:00.000Z,4077.79000,4092.78000,0.61,475.80,50,78.00,1.08
7,XAUUSD,buy,low,4135.37000,4137.52000,2025-10-23T17:50:00.000Z,2025-10-23T18:00:00.000Z,4100.00000,4137.52000,0.13,27.95,10,21.50,0.06
8,XAUUSD,buy,low,4136.16000,4137.52000,2025-10-23T18:05:00.000Z,2025-10-24T00:05:00.000Z,4100.00000,4137.52000,0.13,17.68,360,13.60,0.04
9,XAUUSD,buy,low,4123.23000,4100.00000,2025-10-24T00:45:00.000Z,2025-10-24T05:00:00.000Z,4100.00000,4132.42000,0.20,-464.60,255,-232.30,1.00
10,XAUUSD,buy,low,4091.94000,4077.79000,2025-10-24T05:55:00.000Z,2025-10-24T06:50:00.000Z,4077.79000,4115.82000,0.31,-438.65,55,-141.50,1.00
11,XAUUSD,buy,low,3953.18000,3960.56000,2025-10-29T02:25:00.000Z,2025-10-29T03:00:00.000Z,3949.38000,3960.56000,1.10,811.80,35,73.80,1.94
12,XAUUSD,buy,low,3955.71000,3954.81000,2025-10-29T03:10:00.000Z,2025-10-29T03:15:00.000Z,3954.81000,3957.51000,5.09,-458.10,5,-9.00,1.00
13,XAUUSD,buy,low,3961.18000,3958.93000,2025-10-29T03:45:00.000Z,2025-10-29T03:55:00.000Z,3958.93000,3965.68000,1.94,-436.50,10,-22.50,1.00
14,XAUUSD,buy,low,4010.02000,3958.93000,2025-10-29T12:40:00.000Z,2025-10-29T16:35:00.000Z,3958.93000,4019.69000,0.08,-408.72,235,-510.90,1.00
15,XAUUSD,buy,low,3958.75000,3943.79000,2025-10-29T22:20:00.000Z,2025-10-29T22:40:00.000Z,3943.79000,3970.17000,0.26,-388.96,20,-149.60,1.00
16,XAUUSD,buy,low,3944.59000,3943.79000,2025-10-29T22:45:00.000Z,2025-10-29T22:50:00.000Z,3943.79000,3946.19000,4.67,-373.60,5,-8.00,1.00
