ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
1,XAUUSD,buy,low,4069.33000,4073.11000,2025-11-20T01:00:00.000Z,2025-11-20T01:01:00.000Z,4068.07000,4073.11000,0.40,151.20,1,37.80,3.00
2,XAUUSD,buy,low,4069.33000,4073.11000,2025-11-20T01:04:00.000Z,2025-11-20T01:08:00.000Z,4068.07000,4073.11000,0.46,173.88,4,37.80,3.00
3,XAUUSD,buy,low,4069.33000,4073.11000,2025-11-20T01:05:00.000Z,2025-11-20T01:08:00.000Z,4068.07000,4073.11000,0.46,173.88,3,37.80,3.00
4,XAUUSD,buy,low,4069.33000,4073.11000,2025-11-20T01:06:00.000Z,2025-11-20T01:08:00.000Z,4068.07000,4073.11000,0.46,173.88,2,37.80,3.00
5,XAUUSD,buy,low,4076.20000,4075.20000,2025-11-20T01:34:00.000Z,2025-11-20T01:35:00.000Z,4075.20000,4079.20000,0.84,-84.00,1,-10.00,1.00
6,XAUUSD,buy,low,4076.20000,4075.20000,2025-11-20T01:35:00.000Z,2025-11-20T01:36:00.000Z,4075.20000,4079.20000,0.79,-79.00,1,-10.00,1.00
7,XAUUSD,buy,low,4076.20000,4075.20000,2025-11-20T01:36:00.000Z,2025-11-20T01:37:00.000Z,4075.20000,4079.20000,0.75,-75.00,1,-10.00,1.00
8,XAUUSD,buy,low,4076.20000,4075.20000,2025-11-20T01:37:00.000Z,2025-11-20T01:40:00.000Z,4075.20000,4079.20000,0.72,-72.00,3,-10.00,1.00
9,XAUUSD,buy,low,4076.20000,4075.20000,2025-11-20T01:38:00.000Z,2025-11-20T01:40:00.000Z,4075.20000,4079.20000,0.72,-72.00,2,-10.00,1.00
10,XAUUSD,buy,low,4076.20000,4075.20000,2025-11-20T01:39:00.000Z,2025-11-20T01:40:00.000Z,4075.20000,4079.20000,0.72,-72.00,1,-10.00,1.00
11,XAUUSD,buy,low,4076.20000,4075.20000,2025-11-20T01:41:00.000Z,2025-11-20T01:42:00.000Z,4075.20000,4079.20000,0.61,-61.00,1,-10.00,1.00
12,XAUUSD,buy,low,4076.20000,4075.20000,2025-11-20T01:42:00.000Z,2025-11-20T01:43:00.000Z,4075.20000,4079.20000,0.58,-58.00,1,-10.00,1.00
13,XAUUSD,buy,low,4076.20000,4075.20000,2025-11-20T01:43:00.000Z,2025-11-20T01:44:00.000Z,4075.20000,4079.20000,0.55,-55.00,1,-10.00,1.00
14,XAUUSD,buy,low,4076.20000,4075.20000,2025-11-20T01:45:00.000Z,2025-11-20T01:47:00.000Z,4075.20000,4079.20000,0.52,-52.00,2,-10.00,1.00
15,XAUUSD,buy,low,4076.20000,4075.20000,2025-11-20T01:46:00.000Z,2025-11-20T01:47:00.000Z,4075.20000,4079.20000,0.52,-52.00,1,-10.00,1.00
16,XAUUSD,buy,low,4076.20000,4079.20000,2025-11-20T01:47:00.000Z,2025-11-20T01:54:00.000Z,4075.20000,4079.20000,0.47,141.00,7,30.00,3.00
17,XAUUSD,buy,low,4076.20000,4075.20000,2025-11-20T01:57:00.000Z,2025-11-20T02:00:00.000Z,4075.20000,4079.20000,0.54,-54.00,3,-10.00,1.00
18,XAUUSD,buy,low,4076.20000,4075.20000,2025-11-20T01:59:00.000Z,2025-11-20T02:00:00.000Z,4075.20000,4079.20000,0.54,-54.00,1,-10.00,1.00
19,XAUUSD,buy,low,4076.20000,4075.20000,2025-11-20T02:00:00.000Z,2025-11-20T02:01:00.000Z,4075.20000,4079.20000,0.49,-49.00,1,-10.00,1.00
20,XAUUSD,buy,low,4076.20000,4075.20000,2025-11-20T02:01:00.000Z,2025-11-20T02:02:00.000Z,4075.20000,4079.20000,0.46,-46.00,1,-10.00,1.00
