ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
2,XAUUSD,sell,low,3397.06000,3431.03060,2025-07-21T19:45:00.000Z,2025-07-22T15:50:00.000Z,3431.03060,3329.11880,0.15,-509.56,1205,-339.71,1.00
1,XAUUSD,buy,low,3398.42000,3364.43580,2025-07-21T19:00:00.000Z,2025-07-24T08:15:00.000Z,3364.43580,3466.38840,0.15,-509.76,3675,-339.84,1.00
3,XAUUSD,sell,low,3430.52000,3361.90960,2025-07-22T16:05:00.000Z,2025-07-24T08:30:00.000Z,3464.82520,3361.90960,0.14,960.55,2425,686.10,2.00
4,XAUUSD,buy,low,3363.98000,3330.34020,2025-07-24T08:30:00.000Z,2025-07-25T14:00:00.000Z,3330.34020,3431.25960,0.15,-504.60,1770,-336.40,1.00
6,XAUUSD,buy,low,3333.29000,3299.95710,2025-07-25T14:05:00.000Z,2025-07-30T12:55:00.000Z,3299.95710,3399.95580,0.14,-466.66,7130,-333.33,1.00
5,XAUUSD,sell,low,3363.00000,3295.74000,2025-07-24T08:40:00.000Z,2025-07-30T14:20:00.000Z,3396.63000,3295.74000,0.15,1008.90,8980,672.60,2.00
7,XAUUSD,buy,low,3306.62000,3273.55380,2025-07-30T13:05:00.000Z,2025-07-30T18:20:00.000Z,3273.55380,3372.75240,0.14,-462.93,315,-330.66,1.00
8,XAUUSD,sell,low,3292.42000,3325.34420,2025-07-30T14:25:00.000Z,2025-08-01T11:30:00.000Z,3325.34420,3226.57160,0.15,-493.86,2705,-329.24,1.00
9,XAUUSD,buy,low,3274.95000,3340.44900,2025-07-30T18:45:00.000Z,2025-08-01T11:40:00.000Z,3242.20050,3340.44900,0.15,982.48,2455,654.99,2.00
11,XAUUSD,sell,low,3346.71000,3380.17710,2025-08-01T12:30:00.000Z,2025-08-04T12:45:00.000Z,3380.17710,3279.77580,0.15,-502.01,4335,-334.67,1.00
12,XAUUSD,sell,low,3380.34000,3312.73320,2025-08-04T13:00:00.000Z,2025-08-19T22:50:00.000Z,3414.14340,3312.73320,0.14,946.50,22190,676.07,2.00
13,XAUUSD,sell,low,3314.19000,3347.33190,2025-08-19T22:55:00.000Z,2025-08-20T12:40:00.000Z,3347.33190,3247.90620,0.16,-530.27,825,-331.42,1.00
14,XAUUSD,sell,low,3340.81000,3374.21810,2025-08-20T12:45:00.000Z,2025-08-22T13:45:00.000Z,3374.21810,3273.99380,0.15,-501.12,2940,-334.08,1.00
15,XAUUSD,sell,low,3374.61000,3408.35610,2025-08-22T14:15:00.000Z,2025-08-28T11:05:00.000Z,3408.35610,3307.11780,0.14,-472.45,8450,-337.46,1.00
10,XAUUSD,buy,low,3343.02000,3409.88040,2025-08-01T11:45:00.000Z,2025-08-28T12:50:00.000Z,3309.58980,3409.88040,0.15,1002.91,38945,668.60,2.00
16,XAUUSD,sell,low,3406.16000,3440.22160,2025-08-28T11:25:00.000Z,2025-08-29T13:55:00.000Z,3440.22160,3338.03680,0.13,-442.80,1590,-340.62,1.00
17,XAUUSD,buy,low,3407.01000,3475.15020,2025-08-28T12:55:00.000Z,2025-09-01T01:40:00.000Z,3372.93990,3475.15020,0.15,1022.10,5085,681.40,2.00
18,XAUUSD,sell,low,3440.60000,3475.00600,2025-08-29T14:00:00.000Z,2025-09-01T01:40:00.000Z,3475.00600,3371.78800,0.14,-481.68,3580,-344.06,1.00
20,XAUUSD,sell,low,3474.96000,3509.70960,2025-09-01T01:50:00.000Z,2025-09-02T13:40:00.000Z,3509.70960,3405.46080,0.14,-486.49,2150,-347.50,1.00
19,XAUUSD,buy,low,3475.92000,3545.43840,2025-09-01T01:45:00.000Z,2025-09-02T23:25:00.000Z,3441.16080,3545.43840,0.14,973.26,2740,695.18,2.00
21,XAUUSD,sell,low,3509.97000,3545.06970,2025-09-02T13:45:00.000Z,2025-09-02T23:25:00.000Z,3545.06970,3439.77060,0.14,-491.40,580,-351.00,1.00
23,XAUUSD,sell,low,3535.94000,3571.29940,2025-09-02T23:55:00.000Z,2025-09-03T15:55:00.000Z,3571.29940,3465.22120,0.14,-495.03,960,-353.59,1.00
22,XAUUSD,buy,low,3537.74000,3608.49480,2025-09-02T23:30:00.000Z,2025-09-08T06:15:00.000Z,3502.36260,3608.49480,0.14,990.57,7605,707.55,2.00
24,XAUUSD,sell,low,3572.00000,3607.72000,2025-09-03T16:00:00.000Z,2025-09-08T06:15:00.000Z,3607.72000,3500.56000,0.13,-464.36,6615,-357.20,1.00
25,XAUUSD,buy,low,3607.20000,3679.34400,2025-09-08T06:20:00.000Z,2025-09-15T14:55:00.000Z,3571.12800,3679.34400,0.14,1010.02,10595,721.44,2.00
26,XAUUSD,sell,low,3642.47000,3678.89470,2025-09-08T14:15:00.000Z,2025-09-15T14:55:00.000Z,3678.89470,3569.62060,0.14,-509.95,10120,-364.25,1.00
28,XAUUSD,buy,low,3681.93000,3645.11070,2025-09-15T15:05:00.000Z,2025-09-18T05:00:00.000Z,3645.11070,3755.56860,0.14,-515.47,3715,-368.19,1.00
29,XAUUSD,buy,low,3637.32000,3710.06640,2025-09-18T05:15:00.000Z,2025-09-22T05:35:00.000Z,3600.94680,3710.06640,0.14,1018.45,5780,727.46,2.00
27,XAUUSD,sell,low,3679.42000,3716.21420,2025-09-15T15:00:00.000Z,2025-09-22T05:40:00.000Z,3716.21420,3605.83160,0.14,-515.12,9520,-367.94,1.00
31,XAUUSD,sell,low,3714.60000,3751.74600,2025-09-22T05:50:00.000Z,2025-09-23T00:05:00.000Z,3751.74600,3640.30800,0.14,-520.04,1095,-371.46,1.00
32,XAUUSD,sell,low,3753.21000,3790.74210,2025-09-23T00:20:00.000Z,2025-09-23T08:20:00.000Z,3790.74210,3678.14580,0.13,-487.92,480,-375.32,1.00
30,XAUUSD,buy,low,3716.92000,3791.25840,2025-09-22T05:40:00.000Z,2025-09-29T01:20:00.000Z,3679.75080,3791.25840,0.14,1040.74,9820,743.38,2.00
33,XAUUSD,sell,low,3785.02000,3822.87020,2025-09-23T08:30:00.000Z,2025-09-29T10:15:00.000Z,3822.87020,3709.31960,0.13,-492.05,8745,-378.50,1.00
35,XAUUSD,sell,low,3826.41000,3864.67410,2025-09-29T10:45:00.000Z,2025-09-30T02:45:00.000Z,3864.67410,3749.88180,0.13,-497.43,960,-382.64,1.00
34,XAUUSD,buy,low,3793.14000,3869.00280,2025-09-29T01:25:00.000Z,2025-09-30T04:00:00.000Z,3755.20860,3869.00280,0.14,1062.08,1595,758.63,2.00
37,XAUUSD,buy,low,3869.07000,3830.37930,2025-09-30T04:15:00.000Z,2025-09-30T07:20:00.000Z,3830.37930,3946.45140,0.14,-541.67,185,-386.91,1.00
36,XAUUSD,sell,low,3862.70000,3901.32700,2025-09-30T03:10:00.000Z,2025-10-05T21:55:00.000Z,3901.32700,3785.44600,0.12,-463.52,8325,-386.27,1.00
38,XAUUSD,buy,low,3823.65000,3900.12300,2025-09-30T07:25:00.000Z,2025-10-05T21:55:00.000Z,3785.41350,3900.12300,0.13,994.15,8070,764.73,2.00
40,XAUUSD,sell,low,3908.59000,3947.67590,2025-10-05T22:15:00.000Z,2025-10-06T07:05:00.000Z,3947.67590,3830.41820,0.14,-547.20,530,-390.86,1.00
41,XAUUSD,sell,low,3945.96000,3985.41960,2025-10-06T07:20:00.000Z,2025-10-07T12:15:00.000Z,3985.41960,3867.04080,0.13,-512.97,1735,-394.60,1.00
39,XAUUSD,buy,low,3918.07000,3996.43140,2025-10-05T22:00:00.000Z,2025-10-07T23:00:00.000Z,3878.88930,3996.43140,0.14,1097.06,2940,783.61,2.00
42,XAUUSD,sell,low,3979.64000,4019.43640,2025-10-07T12:20:00.000Z,2025-10-08T03:00:00.000Z,4019.43640,3900.04720,0.12,-477.56,880,-397.96,1.00
43,XAUUSD,buy,low,3996.64000,3956.67360,2025-10-07T23:05:00.000Z,2025-10-09T16:10:00.000Z,3956.67360,4076.57280,0.13,-519.56,2465,-399.66,1.00
45,XAUUSD,buy,low,3963.61000,4042.88220,2025-10-09T16:15:00.000Z,2025-10-12T21:25:00.000Z,3923.97390,4042.88220,0.12,951.27,4630,792.72,2.00
44,XAUUSD,sell,low,4019.04000,4059.23040,2025-10-08T03:15:00.000Z,2025-10-12T22:05:00.000Z,4059.23040,3938.65920,0.13,-522.48,6890,-401.90,1.00
47,XAUUSD,sell,low,4041.54000,4081.95540,2025-10-12T22:30:00.000Z,2025-10-13T09:50:00.000Z,4081.95540,3960.70920,0.13,-525.40,680,-404.15,1.00
46,XAUUSD,buy,low,4037.39000,4118.13780,2025-10-12T21:50:00.000Z,2025-10-13T22:30:00.000Z,3997.01610,4118.13780,0.13,1049.72,1480,807.48,2.00
48,XAUUSD,sell,low,4078.37000,4119.15370,2025-10-13T10:00:00.000Z,2025-10-13T22:30:00.000Z,4119.15370,3996.80260,0.12,-489.40,750,-407.84,1.00
50,XAUUSD,sell,low,4126.65000,4167.91650,2025-10-13T22:50:00.000Z,2025-10-14T03:10:00.000Z,4167.91650,4044.11700,0.12,-495.20,260,-412.66,1.00
51,XAUUSD,sell,low,4164.15000,4205.79150,2025-10-14T03:15:00.000Z,2025-10-15T06:35:00.000Z,4205.79150,4080.86700,0.12,-499.70,1640,-416.41,1.00
49,XAUUSD,buy,low,4129.92000,4212.51840,2025-10-13T22:35:00.000Z,2025-10-15T07:05:00.000Z,4088.62080,4212.51840,0.12,991.18,1950,825.98,2.00
52,XAUUSD,buy,low,4212.81000,4170.68190,2025-10-15T07:10:00.000Z,2025-10-15T08:20:00.000Z,4170.68190,4297.06620,0.12,-505.54,70,-421.28,1.00
53,XAUUSD,sell,low,4210.69000,4252.79690,2025-10-15T07:25:00.000Z,2025-10-16T12:20:00.000Z,4252.79690,4126.47620,0.12,-505.28,1735,-421.07,1.00
54,XAUUSD,buy,low,4190.83000,4274.64660,2025-10-15T08:30:00.000Z,2025-10-16T14:50:00.000Z,4148.92170,4274.64660,0.12,1005.80,1820,838.17,2.00
55,XAUUSD,sell,low,4248.04000,4290.52040,2025-10-16T12:30:00.000Z,2025-10-16T15:20:00.000Z,4290.52040,4163.07920,0.11,-467.28,170,-424.80,1.00
57,XAUUSD,sell,low,4277.75000,4320.52750,2025-10-16T15:30:00.000Z,2025-10-16T19:45:00.000Z,4320.52750,4192.19500,0.11,-470.55,255,-427.78,1.00
56,XAUUSD,buy,low,4273.42000,4358.88840,2025-10-16T14:55:00.000Z,2025-10-16T21:10:00.000Z,4230.68580,4358.88840,0.12,1025.62,375,854.68,2.00
58,XAUUSD,buy,low,4369.06000,4325.36940,2025-10-16T21:15:00.000Z,2025-10-17T00:15:00.000Z,4325.36940,4456.44120,0.12,-524.29,180,-436.91,1.00
59,XAUUSD,sell,low,4356.65000,4269.51700,2025-10-16T21:30:00.000Z,2025-10-17T12:35:00.000Z,4400.21650,4269.51700,0.12,1045.60,905,871.33,2.00
60,XAUUSD,buy,low,4300.06000,4257.05940,2025-10-17T00:45:00.000Z,2025-10-17T13:00:00.000Z,4257.05940,4386.06120,0.11,-473.01,735,-430.01,1.00
61,XAUUSD,sell,low,4285.94000,4200.22120,2025-10-17T12:40:00.000Z,2025-10-17T16:00:00.000Z,4328.79940,4200.22120,0.13,1114.34,200,857.19,2.00
62,XAUUSD,buy,low,4236.13000,4193.76870,2025-10-17T13:15:00.000Z,2025-10-17T16:00:00.000Z,4193.76870,4320.85260,0.12,-508.34,165,-423.61,1.00
63,XAUUSD,sell,low,4193.16000,4235.09160,2025-10-17T16:05:00.000Z,2025-10-17T17:05:00.000Z,4235.09160,4109.29680,0.13,-545.11,60,-419.32,1.00
