ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
1,XAUUSD,sell,low,2534.92201,2471.54896,2024-05-01T04:43:00.000Z,2024-05-01T06:14:00.000Z,2560.27123,2471.54896,0.20,1267.46,91,633.73,2.50
2,XAUUSD,sell,low,2533.46982,2470.13308,2024-05-01T04:44:00.000Z,2024-05-01T06:15:00.000Z,2558.80452,2470.13308,0.20,1266.73,91,633.37,2.50
3,XAUUSD,sell,low,2531.44220,2468.15614,2024-05-01T04:48:00.000Z,2024-05-01T06:15:00.000Z,2556.75662,2468.15614,0.20,1265.72,87,632.86,2.50
7,XAUUSD,buy,low,2468.86055,2444.17195,2024-05-01T06:19:00.000Z,2024-05-01T07:54:00.000Z,2444.17195,2530.58207,0.28,-691.28,95,-246.89,1.00
8,XAUUSD,buy,low,2469.93924,2445.23985,2024-05-01T06:27:00.000Z,2024-05-01T07:54:00.000Z,2445.23985,2531.68772,0.28,-691.58,87,-246.99,1.00
10,XAUUSD,buy,low,2480.06242,2455.26179,2024-05-01T09:37:00.000Z,2024-05-01T10:15:00.000Z,2455.26179,2542.06398,0.25,-620.02,38,-248.01,1.00
9,XAUUSD,buy,low,2476.34069,2451.57728,2024-05-01T09:36:00.000Z,2024-05-01T10:21:00.000Z,2451.57728,2538.24920,0.25,-619.09,45,-247.63,1.00
11,XAUUSD,buy,low,2456.06400,2431.50336,2024-05-01T10:17:00.000Z,2024-05-01T10:34:00.000Z,2431.50336,2517.46560,0.24,-589.46,17,-245.61,1.00
12,XAUUSD,buy,low,2451.19223,2426.68031,2024-05-01T10:22:00.000Z,2024-05-01T10:39:00.000Z,2426.68031,2512.47204,0.23,-563.77,17,-245.12,1.00
6,XAUUSD,sell,low,2468.75403,2493.44157,2024-05-01T06:17:00.000Z,2024-05-01T14:15:00.000Z,2493.44157,2407.03518,0.28,-691.25,478,-246.88,1.00
13,XAUUSD,buy,low,2432.81016,2493.63042,2024-05-01T10:35:00.000Z,2024-05-01T14:15:00.000Z,2408.48206,2493.63042,0.22,1338.05,220,608.20,2.50
14,XAUUSD,buy,low,2431.29530,2492.07768,2024-05-01T10:40:00.000Z,2024-05-01T14:15:00.000Z,2406.98235,2492.07768,0.21,1276.43,215,607.82,2.50
15,XAUUSD,sell,low,2490.51495,2428.25207,2024-05-01T14:16:00.000Z,2024-05-01T19:16:00.000Z,2515.42010,2428.25207,0.24,1494.31,300,622.63,2.50
16,XAUUSD,sell,low,2416.84147,2441.00989,2024-05-01T19:56:00.000Z,2024-05-01T20:13:00.000Z,2441.00989,2356.42043,0.28,-676.72,17,-241.68,1.00
