ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
1,XAUUSD,buy,low,3747.16000,3744.50000,2025-09-23T01:05:00.000Z,2025-09-23T01:10:00.000Z,3744.50000,3748.46000,1.88,-500.08,5,-26.60,1.00
2,XAUUSD,buy,low,3746.43000,3744.50000,2025-09-23T02:45:00.000Z,2025-09-23T03:05:00.000Z,3744.50000,3748.46000,2.46,-474.78,20,-19.30,1.00
3,XAUUSD,buy,low,3778.93000,3744.50000,2025-09-23T14:10:00.000Z,2025-09-24T14:35:00.000Z,3744.50000,3787.70000,0.13,-447.59,1465,-344.30,1.00
4,XAUUSD,buy,low,3735.07000,3749.47000,2025-09-25T15:40:00.000Z,2025-09-25T17:25:00.000Z,3727.87000,3749.47000,0.60,864.00,105,144.00,2.00
5,XAUUSD,buy,low,3745.91000,3751.34000,2025-09-26T09:40:00.000Z,2025-09-26T10:25:00.000Z,3734.30000,3751.34000,0.41,222.63,45,54.30,0.47
6,XAUUSD,buy,low,3766.82000,3781.06000,2025-09-28T21:20:00.000Z,2025-09-28T23:35:00.000Z,3734.30000,3781.06000,0.15,213.60,135,142.40,0.44
7,XAUUSD,buy,low,3817.28000,3810.77000,2025-09-29T11:25:00.000Z,2025-09-29T12:00:00.000Z,3810.77000,3819.61000,0.76,-494.76,35,-65.10,1.00
8,XAUUSD,buy,low,3826.70000,3833.39000,2025-09-29T21:25:00.000Z,2025-09-29T23:00:00.000Z,3816.49000,3833.39000,0.46,307.74,95,66.90,0.66
9,XAUUSD,buy,low,3853.72000,3816.49000,2025-09-30T06:15:00.000Z,2025-09-30T07:30:00.000Z,3816.49000,3867.09000,0.13,-483.99,75,-372.30,1.00
10,XAUUSD,buy,low,3816.88000,3817.62000,2025-09-30T11:35:00.000Z,2025-09-30T11:45:00.000Z,3804.35000,3817.62000,0.37,27.38,10,7.40,0.06
11,XAUUSD,buy,low,3864.75000,3865.17000,2025-10-01T03:55:00.000Z,2025-10-01T04:00:00.000Z,3811.54000,3865.17000,0.09,3.78,5,4.20,0.01
12,XAUUSD,buy,low,3863.59000,3865.17000,2025-10-01T04:05:00.000Z,2025-10-01T04:15:00.000Z,3811.54000,3865.17000,0.09,14.22,10,15.80,0.03
13,XAUUSD,buy,low,3865.27000,3863.14000,2025-10-01T04:30:00.000Z,2025-10-01T04:35:00.000Z,3863.14000,3869.53000,2.17,-462.21,5,-21.30,1.00
14,XAUUSD,buy,low,3862.70000,3865.17000,2025-10-01T04:40:00.000Z,2025-10-01T06:10:00.000Z,3811.54000,3865.17000,0.09,22.23,90,24.70,0.05
15,XAUUSD,buy,low,3872.29000,3889.47000,2025-10-01T12:40:00.000Z,2025-10-02T11:05:00.000Z,3811.54000,3889.47000,0.07,120.26,1345,171.80,0.28
16,XAUUSD,buy,low,3848.87000,3854.39000,2025-10-02T17:45:00.000Z,2025-10-02T18:00:00.000Z,3846.11000,3854.39000,1.62,894.24,15,55.20,2.00
17,XAUUSD,buy,low,3858.61000,3858.31000,2025-10-03T10:25:00.000Z,2025-10-03T10:30:00.000Z,3858.31000,3859.21000,10.00,-300.00,5,-3.00,1.00
18,XAUUSD,buy,low,3934.15000,3929.18000,2025-10-06T11:45:00.000Z,2025-10-06T12:30:00.000Z,3929.18000,3944.09000,0.96,-477.12,45,-49.70,1.00
19,XAUUSD,buy,low,3963.53000,3958.23000,2025-10-06T23:45:00.000Z,2025-10-07T00:10:00.000Z,3958.23000,3964.86000,0.85,-450.50,25,-53.00,1.00
20,XAUUSD,buy,low,3960.85000,3958.23000,2025-10-07T00:15:00.000Z,2025-10-07T00:30:00.000Z,3958.23000,3964.86000,1.64,-429.68,15,-26.20,1.00
21,XAUUSD,buy,low,3963.64000,3964.86000,2025-10-07T01:20:00.000Z,2025-10-07T01:25:00.000Z,3958.23000,3964.86000,0.76,92.72,5,12.20,0.23
22,XAUUSD,buy,low,3965.15000,3976.03000,2025-10-07T01:30:00.000Z,2025-10-07T03:45:00.000Z,3958.23000,3976.03000,0.60,652.80,135,108.80,1.57
23,XAUUSD,buy,low,3965.36000,3958.23000,2025-10-07T04:10:00.000Z,2025-10-07T05:40:00.000Z,3958.23000,3977.25000,0.63,-449.19,90,-71.30,1.00
24,XAUUSD,buy,low,3966.00000,3977.25000,2025-10-07T14:55:00.000Z,2025-10-07T15:35:00.000Z,3956.25000,3977.25000,0.43,483.75,40,112.50,1.15
25,XAUUSD,buy,low,3974.62000,3977.25000,2025-10-07T17:00:00.000Z,2025-10-07T17:05:00.000Z,3956.25000,3977.25000,0.24,63.12,5,26.30,0.14
26,XAUUSD,buy,low,3985.53000,3987.58000,2025-10-08T00:05:00.000Z,2025-10-08T00:10:00.000Z,3956.25000,3987.58000,0.15,30.75,5,20.50,0.07
27,XAUUSD,buy,low,3987.47000,3987.58000,2025-10-08T00:15:00.000Z,2025-10-08T00:20:00.000Z,3956.25000,3987.58000,0.14,1.54,5,1.10,0.00
28,XAUUSD,buy,low,4036.98000,4039.00000,2025-10-08T11:30:00.000Z,2025-10-08T11:55:00.000Z,4030.03000,4039.00000,0.65,131.30,25,20.20,0.29
29,XAUUSD,buy,low,4038.33000,4039.00000,2025-10-08T12:25:00.000Z,2025-10-08T12:30:00.000Z,4030.94000,4039.00000,0.62,41.54,5,6.70,0.09
30,XAUUSD,buy,low,4036.33000,4040.36000,2025-10-08T12:50:00.000Z,2025-10-08T13:00:00.000Z,4030.94000,4040.36000,0.86,346.58,10,40.30,0.75
31,XAUUSD,buy,low,4019.20000,4036.25000,2025-10-09T02:00:00.000Z,2025-10-09T03:20:00.000Z,4008.74000,4036.25000,0.46,784.30,80,170.50,1.63
32,XAUUSD,buy,low,4034.49000,4041.59000,2025-10-09T10:20:00.000Z,2025-10-09T10:35:00.000Z,4030.94000,4041.59000,1.46,1036.60,15,71.00,2.00
