ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
1,XAUUSD,sell,low,3899.23000,3900.23000,2025-10-28T08:00:00.000Z,2025-10-28T08:01:00.000Z,3900.23000,3896.23000,5.00,-500.00,1,-10.00,1.00
2,XAUUSD,sell,low,3899.23000,3900.23000,2025-10-28T08:01:00.000Z,2025-10-28T08:02:00.000Z,3900.23000,3896.23000,4.75,-475.00,1,-10.00,1.00
3,XAUUSD,sell,low,3899.23000,3900.23000,2025-10-28T08:02:00.000Z,2025-10-28T08:03:00.000Z,3900.23000,3896.23000,4.51,-451.00,1,-10.00,1.00
4,XAUUSD,sell,low,3899.23000,3900.23000,2025-10-28T08:03:00.000Z,2025-10-28T08:04:00.000Z,3900.23000,3896.23000,4.29,-429.00,1,-10.00,1.00
5,XAUUSD,sell,low,3899.23000,3900.23000,2025-10-28T08:04:00.000Z,2025-10-28T08:05:00.000Z,3900.23000,3896.23000,4.07,-407.00,1,-10.00,1.00
6,XAUUSD,sell,low,3899.23000,3900.23000,2025-10-28T08:05:00.000Z,2025-10-28T08:06:00.000Z,3900.23000,3896.23000,3.87,-387.00,1,-10.00,1.00
7,XAUUSD,sell,low,3899.23000,3900.23000,2025-10-28T08:06:00.000Z,2025-10-28T08:07:00.000Z,3900.23000,3896.23000,3.68,-368.00,1,-10.00,1.00
9,XAUUSD,sell,low,3904.39000,3905.39000,2025-10-28T08:08:00.000Z,2025-10-28T08:11:00.000Z,3905.39000,3901.39000,3.49,-349.00,3,-10.00,1.00
10,XAUUSD,sell,low,3904.39000,3905.39000,2025-10-28T08:09:00.000Z,2025-10-28T08:11:00.000Z,3905.39000,3901.39000,3.49,-349.00,2,-10.00,1.00
8,XAUUSD,sell,low,3905.73000,3902.14500,2025-10-28T08:07:00.000Z,2025-10-28T08:12:00.000Z,3906.92500,3902.14500,2.92,1046.82,5,35.85,3.00
11,XAUUSD,sell,low,3904.39000,3901.39000,2025-10-28T08:12:00.000Z,2025-10-28T08:15:00.000Z,3905.39000,3901.39000,3.67,1101.00,3,30.00,3.00
12,XAUUSD,sell,low,3904.39000,3901.39000,2025-10-28T08:13:00.000Z,2025-10-28T08:15:00.000Z,3905.39000,3901.39000,3.67,1101.00,2,30.00,3.00
13,XAUUSD,sell,low,3903.91000,3900.77500,2025-10-28T08:14:00.000Z,2025-10-28T08:15:00.000Z,3904.95500,3900.77500,3.51,1100.39,1,31.35,3.00
14,XAUUSD,sell,low,3903.10000,3904.67500,2025-10-28T08:16:00.000Z,2025-10-28T08:17:00.000Z,3904.67500,3898.37500,3.38,-532.35,1,-15.75,1.00
15,XAUUSD,sell,low,3903.10000,3904.67500,2025-10-28T08:17:00.000Z,2025-10-28T08:18:00.000Z,3904.67500,3898.37500,3.21,-505.58,1,-15.75,1.00
16,XAUUSD,sell,low,3903.10000,3904.67500,2025-10-28T08:18:00.000Z,2025-10-28T08:19:00.000Z,3904.67500,3898.37500,3.05,-480.38,1,-15.75,1.00
17,XAUUSD,sell,low,3903.10000,3904.67500,2025-10-28T08:19:00.000Z,2025-10-28T08:20:00.000Z,3904.67500,3898.37500,2.89,-455.18,1,-15.75,1.00
18,XAUUSD,sell,low,3906.05000,3903.05000,2025-10-28T08:20:00.000Z,2025-10-28T08:22:00.000Z,3907.05000,3903.05000,4.33,1299.00,2,30.00,3.00
19,XAUUSD,sell,low,3904.61000,3901.61000,2025-10-28T08:21:00.000Z,2025-10-28T08:23:00.000Z,3905.61000,3901.61000,4.33,1299.00,2,30.00,3.00
20,XAUUSD,sell,low,3904.28000,3901.28000,2025-10-28T08:22:00.000Z,2025-10-28T08:23:00.000Z,3905.28000,3901.28000,4.98,1494.00,1,30.00,3.00
21,XAUUSD,sell,low,3904.19000,3905.86500,2025-10-28T08:23:00.000Z,2025-10-28T08:26:00.000Z,3905.86500,3899.16500,3.81,-638.17,3,-16.75,1.00
22,XAUUSD,sell,low,3904.19000,3905.86500,2025-10-28T08:24:00.000Z,2025-10-28T08:26:00.000Z,3905.86500,3899.16500,3.81,-638.17,2,-16.75,1.00
